id,product_name,target,environment,user,content,created_at,updated_at
777481,Simple Wallet,on-close-app,staging,"{""id"":2484,""name"":""Guest"",""email"":""guest.b7d48932-57b2-420e-a5a2-3acce6fa960f@agileteknik.com"",""type"":""guest""}","{""app_info"":{""app_name"":""Simple Wallet"",""package_name"":""com.fn1.mobile_simple_wallet"",""version"":""5.3.15"",""build_number"":""13""}}",2023-12-20 2:31:52,2023-12-20 2:31:52
777478,Simple Wallet,view-my-wallet,staging,"{""id"":2484,""name"":""Guest"",""email"":""guest.b7d48932-57b2-420e-a5a2-3acce6fa960f@agileteknik.com"",""type"":""guest""}","{""type_page"":""home"",""app_info"":{""app_name"":""Simple Wallet"",""package_name"":""com.fn1.mobile_simple_wallet"",""version"":""5.3.15"",""build_number"":""13""}}",2023-12-20 2:31:39,2023-12-20 2:31:39
777477,Simple Wallet,on-open-app,staging,"{""id"":2484,""name"":""Guest"",""email"":""guest.b7d48932-57b2-420e-a5a2-3acce6fa960f@agileteknik.com"",""type"":""guest""}","{""device_info"":{""product"":""surya_id"",""supportedAbis"":[""arm64-v8a"",""armeabi-v7a"",""armeabi""],""serialNumber"":""unknown"",""displayMetrics"":{""xDpi"":391.885009765625,""widthPx"":1080,""heightPx"":2400,""yDpi"":395.843994140625},""supported32BitAbis"":[""armeabi-v7a"",""armeabi""],""display"":""SKQ1.211019.001 test-keys"",""type"":""user"",""isPhysicalDevice"":true,""version"":{""baseOS"":"""",""securityPatch"":""2023-06-01"",""sdkInt"":31,""release"":""12"",""codename"":""REL"",""previewSdkInt"":0,""incremental"":""V14.0.2.0.SJGIDXM""},""systemFeatures"":[""android.hardware.sensor.proximity"",""android.software.adoptable_storage"",""android.hardware.sensor.accelerometer"",""android.software.controls"",""android.hardware.faketouch"",""com.google.android.feature.D2D_CABLE_MIGRATION_FEATURE"",""android.hardware.usb.accessory"",""android.hardware.telephony.cdma"",""android.software.backup"",""android.hardware.touchscreen"",""android.hardware.touchscreen.multitouch"",""android.software.print"",""android.hardware.consumerir"",""android.hardware.ethernet"",""android.software.activities_on_secondary_displays"",""android.software.voice_recognizers"",""com.google.lens.feature.CAMERA_INTEGRATION"",""android.software.picture_in_picture"",""android.hardware.fingerprint"",""android.hardware.sensor.gyroscope"",""android.hardware.audio.low_latency"",""android.software.vulkan.deqp.level"",""android.software.cant_save_state"",""android.hardware.opengles.aep"",""android.hardware.bluetooth"",""android.hardware.camera.autofocus"",""android.hardware.telephony.gsm"",""android.hardware.telephony.ims"",""android.software.incremental_delivery"",""android.software.sip.voip"",""android.hardware.usb.host"",""android.hardware.audio.output"",""android.software.verified_boot"",""android.hardware.camera.flash"",""android.hardware.camera.front"",""android.hardware.se.omapi.uicc"",""android.hardware.screen.portrait"",""android.hardware.nfc"",""com.google.android.feature.TURBO_PRELOAD"",""com.nxp.mifare"",""android.hardware.sensor.stepdetector"",""android.software.home_screen"",""android.hardware.microphone"",""android.software.autofill"",""android.software.securely_removes_users"",""android.hardware.bluetooth_le"",""android.hardware.sensor.compass"",""android.hardware.touchscreen.multitouch.jazzhand"",""android.software.app_widgets"",""android.software.input_methods"",""android.hardware.sensor.light"",""android.hardware.vulkan.version"",""android.software.companion_device_setup"",""android.software.device_admin"",""com.google.android.feature.WELLBEING"",""android.hardware.wifi.passpoint"",""android.hardware.camera"",""android.hardware.screen.landscape"",""android.hardware.ram.normal"",""android.software.managed_users"",""android.software.webview"",""android.hardware.sensor.stepcounter"",""android.hardware.camera.capability.manual_post_processing"",""com.google.lens.feature.IMAGE_INTEGRATION"",""android.hardware.camera.any"",""android.hardware.camera.capability.raw"",""android.hardware.vulkan.compute"",""com.google.android.apps.dialer.call_recording_audio"",""android.software.connectionservice"",""android.hardware.touchscreen.multitouch.distinct"",""android.hardware.location.network"",""android.software.cts"",""android.software.sip"",""android.hardware.camera.capability.manual_sensor"",""android.software.app_enumeration"",""android.hardware.camera.level.full"",""android.hardware.wifi.direct"",""android.software.live_wallpaper"",""android.software.ipsec_tunnels"",""android.hardware.audio.pro"",""android.hardware.nfc.hcef"",""android.hardware.nfc.uicc"",""android.hardware.location.gps"",""android.software.midi"",""android.hardware.nfc.any"",""android.hardware.nfc.hce"",""android.hardware.wifi"",""android.hardware.location"",""android.hardware.vulkan.level"",""android.software.secure_lock_screen"",""android.hardware.telephony"",""android.software.file_based_encryption""],""manufacturer"":""Xiaomi"",""tags"":""release-keys"",""supported64BitAbis"":[""arm64-v8a""],""bootloader"":""unknown"",""fingerprint"":""POCO\/surya_id\/surya:12\/SKQ1.211019.001\/V14.0.2.0.SJGIDXM:user\/release-keys"",""host"":""non-pangu-pod-26vzf"",""model"":""M2007J20CG"",""id"":""SKQ1.211019.001"",""brand"":""POCO"",""device"":""surya"",""board"":""surya"",""hardware"":""qcom""},""app_info"":{""app_name"":""Simple Wallet"",""package_name"":""com.fn1.mobile_simple_wallet"",""version"":""5.3.15"",""build_number"":""13""}}",2023-12-20 2:31:38,2023-12-20 2:31:38
777476,Simple Wallet,on-load-app,staging,[],"{""device_info"":{""product"":""surya_id"",""supportedAbis"":[""arm64-v8a"",""armeabi-v7a"",""armeabi""],""serialNumber"":""unknown"",""displayMetrics"":{""xDpi"":391.885009765625,""widthPx"":1080,""heightPx"":2400,""yDpi"":395.843994140625},""supported32BitAbis"":[""armeabi-v7a"",""armeabi""],""display"":""SKQ1.211019.001 test-keys"",""type"":""user"",""isPhysicalDevice"":true,""version"":{""baseOS"":"""",""securityPatch"":""2023-06-01"",""sdkInt"":31,""release"":""12"",""codename"":""REL"",""previewSdkInt"":0,""incremental"":""V14.0.2.0.SJGIDXM""},""systemFeatures"":[""android.hardware.sensor.proximity"",""android.software.adoptable_storage"",""android.hardware.sensor.accelerometer"",""android.software.controls"",""android.hardware.faketouch"",""com.google.android.feature.D2D_CABLE_MIGRATION_FEATURE"",""android.hardware.usb.accessory"",""android.hardware.telephony.cdma"",""android.software.backup"",""android.hardware.touchscreen"",""android.hardware.touchscreen.multitouch"",""android.software.print"",""android.hardware.consumerir"",""android.hardware.ethernet"",""android.software.activities_on_secondary_displays"",""android.software.voice_recognizers"",""com.google.lens.feature.CAMERA_INTEGRATION"",""android.software.picture_in_picture"",""android.hardware.fingerprint"",""android.hardware.sensor.gyroscope"",""android.hardware.audio.low_latency"",""android.software.vulkan.deqp.level"",""android.software.cant_save_state"",""android.hardware.opengles.aep"",""android.hardware.bluetooth"",""android.hardware.camera.autofocus"",""android.hardware.telephony.gsm"",""android.hardware.telephony.ims"",""android.software.incremental_delivery"",""android.software.sip.voip"",""android.hardware.usb.host"",""android.hardware.audio.output"",""android.software.verified_boot"",""android.hardware.camera.flash"",""android.hardware.camera.front"",""android.hardware.se.omapi.uicc"",""android.hardware.screen.portrait"",""android.hardware.nfc"",""com.google.android.feature.TURBO_PRELOAD"",""com.nxp.mifare"",""android.hardware.sensor.stepdetector"",""android.software.home_screen"",""android.hardware.microphone"",""android.software.autofill"",""android.software.securely_removes_users"",""android.hardware.bluetooth_le"",""android.hardware.sensor.compass"",""android.hardware.touchscreen.multitouch.jazzhand"",""android.software.app_widgets"",""android.software.input_methods"",""android.hardware.sensor.light"",""android.hardware.vulkan.version"",""android.software.companion_device_setup"",""android.software.device_admin"",""com.google.android.feature.WELLBEING"",""android.hardware.wifi.passpoint"",""android.hardware.camera"",""android.hardware.screen.landscape"",""android.hardware.ram.normal"",""android.software.managed_users"",""android.software.webview"",""android.hardware.sensor.stepcounter"",""android.hardware.camera.capability.manual_post_processing"",""com.google.lens.feature.IMAGE_INTEGRATION"",""android.hardware.camera.any"",""android.hardware.camera.capability.raw"",""android.hardware.vulkan.compute"",""com.google.android.apps.dialer.call_recording_audio"",""android.software.connectionservice"",""android.hardware.touchscreen.multitouch.distinct"",""android.hardware.location.network"",""android.software.cts"",""android.software.sip"",""android.hardware.camera.capability.manual_sensor"",""android.software.app_enumeration"",""android.hardware.camera.level.full"",""android.hardware.wifi.direct"",""android.software.live_wallpaper"",""android.software.ipsec_tunnels"",""android.hardware.audio.pro"",""android.hardware.nfc.hcef"",""android.hardware.nfc.uicc"",""android.hardware.location.gps"",""android.software.midi"",""android.hardware.nfc.any"",""android.hardware.nfc.hce"",""android.hardware.wifi"",""android.hardware.location"",""android.hardware.vulkan.level"",""android.software.secure_lock_screen"",""android.hardware.telephony"",""android.software.file_based_encryption""],""manufacturer"":""Xiaomi"",""tags"":""release-keys"",""supported64BitAbis"":[""arm64-v8a""],""bootloader"":""unknown"",""fingerprint"":""POCO\/surya_id\/surya:12\/SKQ1.211019.001\/V14.0.2.0.SJGIDXM:user\/release-keys"",""host"":""non-pangu-pod-26vzf"",""model"":""M2007J20CG"",""id"":""SKQ1.211019.001"",""brand"":""POCO"",""device"":""surya"",""board"":""surya"",""hardware"":""qcom""},""app_info"":{""app_name"":""Simple Wallet"",""package_name"":""com.fn1.mobile_simple_wallet"",""version"":""5.3.15"",""build_number"":""13""}}",2023-12-20 2:31:37,2023-12-20 2:31:37
777475,Simple Wallet,on-close-app,staging,"{""id"":2484,""name"":""Guest"",""email"":""guest.b7d48932-57b2-420e-a5a2-3acce6fa960f@agileteknik.com"",""type"":""guest""}","{""app_info"":{""app_name"":""Simple Wallet"",""package_name"":""com.fn1.mobile_simple_wallet"",""version"":""5.3.15"",""build_number"":""13""}}",2023-12-20 2:31:31,2023-12-20 2:31:31
777474,Simple Wallet,view-my-wallet,staging,"{""id"":2484,""name"":""Guest"",""email"":""guest.b7d48932-57b2-420e-a5a2-3acce6fa960f@agileteknik.com"",""type"":""guest""}","{""type_page"":""home"",""app_info"":{""app_name"":""Simple Wallet"",""package_name"":""com.fn1.mobile_simple_wallet"",""version"":""5.3.15"",""build_number"":""13""}}",2023-12-20 2:31:31,2023-12-20 2:31:31
777473,Simple Wallet,on-open-app,staging,"{""id"":2484,""name"":""Guest"",""email"":""guest.b7d48932-57b2-420e-a5a2-3acce6fa960f@agileteknik.com"",""type"":""guest""}","{""device_info"":{""product"":""surya_id"",""supportedAbis"":[""arm64-v8a"",""armeabi-v7a"",""armeabi""],""serialNumber"":""unknown"",""displayMetrics"":{""xDpi"":391.885009765625,""widthPx"":1080,""heightPx"":2400,""yDpi"":395.843994140625},""supported32BitAbis"":[""armeabi-v7a"",""armeabi""],""display"":""SKQ1.211019.001 test-keys"",""type"":""user"",""isPhysicalDevice"":true,""version"":{""baseOS"":"""",""securityPatch"":""2023-06-01"",""sdkInt"":31,""release"":""12"",""codename"":""REL"",""previewSdkInt"":0,""incremental"":""V14.0.2.0.SJGIDXM""},""systemFeatures"":[""android.hardware.sensor.proximity"",""android.software.adoptable_storage"",""android.hardware.sensor.accelerometer"",""android.software.controls"",""android.hardware.faketouch"",""com.google.android.feature.D2D_CABLE_MIGRATION_FEATURE"",""android.hardware.usb.accessory"",""android.hardware.telephony.cdma"",""android.software.backup"",""android.hardware.touchscreen"",""android.hardware.touchscreen.multitouch"",""android.software.print"",""android.hardware.consumerir"",""android.hardware.ethernet"",""android.software.activities_on_secondary_displays"",""android.software.voice_recognizers"",""com.google.lens.feature.CAMERA_INTEGRATION"",""android.software.picture_in_picture"",""android.hardware.fingerprint"",""android.hardware.sensor.gyroscope"",""android.hardware.audio.low_latency"",""android.software.vulkan.deqp.level"",""android.software.cant_save_state"",""android.hardware.opengles.aep"",""android.hardware.bluetooth"",""android.hardware.camera.autofocus"",""android.hardware.telephony.gsm"",""android.hardware.telephony.ims"",""android.software.incremental_delivery"",""android.software.sip.voip"",""android.hardware.usb.host"",""android.hardware.audio.output"",""android.software.verified_boot"",""android.hardware.camera.flash"",""android.hardware.camera.front"",""android.hardware.se.omapi.uicc"",""android.hardware.screen.portrait"",""android.hardware.nfc"",""com.google.android.feature.TURBO_PRELOAD"",""com.nxp.mifare"",""android.hardware.sensor.stepdetector"",""android.software.home_screen"",""android.hardware.microphone"",""android.software.autofill"",""android.software.securely_removes_users"",""android.hardware.bluetooth_le"",""android.hardware.sensor.compass"",""android.hardware.touchscreen.multitouch.jazzhand"",""android.software.app_widgets"",""android.software.input_methods"",""android.hardware.sensor.light"",""android.hardware.vulkan.version"",""android.software.companion_device_setup"",""android.software.device_admin"",""com.google.android.feature.WELLBEING"",""android.hardware.wifi.passpoint"",""android.hardware.camera"",""android.hardware.screen.landscape"",""android.hardware.ram.normal"",""android.software.managed_users"",""android.software.webview"",""android.hardware.sensor.stepcounter"",""android.hardware.camera.capability.manual_post_processing"",""com.google.lens.feature.IMAGE_INTEGRATION"",""android.hardware.camera.any"",""android.hardware.camera.capability.raw"",""android.hardware.vulkan.compute"",""com.google.android.apps.dialer.call_recording_audio"",""android.software.connectionservice"",""android.hardware.touchscreen.multitouch.distinct"",""android.hardware.location.network"",""android.software.cts"",""android.software.sip"",""android.hardware.camera.capability.manual_sensor"",""android.software.app_enumeration"",""android.hardware.camera.level.full"",""android.hardware.wifi.direct"",""android.software.live_wallpaper"",""android.software.ipsec_tunnels"",""android.hardware.audio.pro"",""android.hardware.nfc.hcef"",""android.hardware.nfc.uicc"",""android.hardware.location.gps"",""android.software.midi"",""android.hardware.nfc.any"",""android.hardware.nfc.hce"",""android.hardware.wifi"",""android.hardware.location"",""android.hardware.vulkan.level"",""android.software.secure_lock_screen"",""android.hardware.telephony"",""android.software.file_based_encryption""],""manufacturer"":""Xiaomi"",""tags"":""release-keys"",""supported64BitAbis"":[""arm64-v8a""],""bootloader"":""unknown"",""fingerprint"":""POCO\/surya_id\/surya:12\/SKQ1.211019.001\/V14.0.2.0.SJGIDXM:user\/release-keys"",""host"":""non-pangu-pod-26vzf"",""model"":""M2007J20CG"",""id"":""SKQ1.211019.001"",""brand"":""POCO"",""device"":""surya"",""board"":""surya"",""hardware"":""qcom""},""app_info"":{""app_name"":""Simple Wallet"",""package_name"":""com.fn1.mobile_simple_wallet"",""version"":""5.3.15"",""build_number"":""13""}}",2023-12-20 2:31:30,2023-12-20 2:31:30
777472,Simple Wallet,on-load-app,staging,[],"{""device_info"":{""product"":""surya_id"",""supportedAbis"":[""arm64-v8a"",""armeabi-v7a"",""armeabi""],""serialNumber"":""unknown"",""displayMetrics"":{""xDpi"":391.885009765625,""widthPx"":1080,""heightPx"":2400,""yDpi"":395.843994140625},""supported32BitAbis"":[""armeabi-v7a"",""armeabi""],""display"":""SKQ1.211019.001 test-keys"",""type"":""user"",""isPhysicalDevice"":true,""version"":{""baseOS"":"""",""securityPatch"":""2023-06-01"",""sdkInt"":31,""release"":""12"",""codename"":""REL"",""previewSdkInt"":0,""incremental"":""V14.0.2.0.SJGIDXM""},""systemFeatures"":[""android.hardware.sensor.proximity"",""android.software.adoptable_storage"",""android.hardware.sensor.accelerometer"",""android.software.controls"",""android.hardware.faketouch"",""com.google.android.feature.D2D_CABLE_MIGRATION_FEATURE"",""android.hardware.usb.accessory"",""android.hardware.telephony.cdma"",""android.software.backup"",""android.hardware.touchscreen"",""android.hardware.touchscreen.multitouch"",""android.software.print"",""android.hardware.consumerir"",""android.hardware.ethernet"",""android.software.activities_on_secondary_displays"",""android.software.voice_recognizers"",""com.google.lens.feature.CAMERA_INTEGRATION"",""android.software.picture_in_picture"",""android.hardware.fingerprint"",""android.hardware.sensor.gyroscope"",""android.hardware.audio.low_latency"",""android.software.vulkan.deqp.level"",""android.software.cant_save_state"",""android.hardware.opengles.aep"",""android.hardware.bluetooth"",""android.hardware.camera.autofocus"",""android.hardware.telephony.gsm"",""android.hardware.telephony.ims"",""android.software.incremental_delivery"",""android.software.sip.voip"",""android.hardware.usb.host"",""android.hardware.audio.output"",""android.software.verified_boot"",""android.hardware.camera.flash"",""android.hardware.camera.front"",""android.hardware.se.omapi.uicc"",""android.hardware.screen.portrait"",""android.hardware.nfc"",""com.google.android.feature.TURBO_PRELOAD"",""com.nxp.mifare"",""android.hardware.sensor.stepdetector"",""android.software.home_screen"",""android.hardware.microphone"",""android.software.autofill"",""android.software.securely_removes_users"",""android.hardware.bluetooth_le"",""android.hardware.sensor.compass"",""android.hardware.touchscreen.multitouch.jazzhand"",""android.software.app_widgets"",""android.software.input_methods"",""android.hardware.sensor.light"",""android.hardware.vulkan.version"",""android.software.companion_device_setup"",""android.software.device_admin"",""com.google.android.feature.WELLBEING"",""android.hardware.wifi.passpoint"",""android.hardware.camera"",""android.hardware.screen.landscape"",""android.hardware.ram.normal"",""android.software.managed_users"",""android.software.webview"",""android.hardware.sensor.stepcounter"",""android.hardware.camera.capability.manual_post_processing"",""com.google.lens.feature.IMAGE_INTEGRATION"",""android.hardware.camera.any"",""android.hardware.camera.capability.raw"",""android.hardware.vulkan.compute"",""com.google.android.apps.dialer.call_recording_audio"",""android.software.connectionservice"",""android.hardware.touchscreen.multitouch.distinct"",""android.hardware.location.network"",""android.software.cts"",""android.software.sip"",""android.hardware.camera.capability.manual_sensor"",""android.software.app_enumeration"",""android.hardware.camera.level.full"",""android.hardware.wifi.direct"",""android.software.live_wallpaper"",""android.software.ipsec_tunnels"",""android.hardware.audio.pro"",""android.hardware.nfc.hcef"",""android.hardware.nfc.uicc"",""android.hardware.location.gps"",""android.software.midi"",""android.hardware.nfc.any"",""android.hardware.nfc.hce"",""android.hardware.wifi"",""android.hardware.location"",""android.hardware.vulkan.level"",""android.software.secure_lock_screen"",""android.hardware.telephony"",""android.software.file_based_encryption""],""manufacturer"":""Xiaomi"",""tags"":""release-keys"",""supported64BitAbis"":[""arm64-v8a""],""bootloader"":""unknown"",""fingerprint"":""POCO\/surya_id\/surya:12\/SKQ1.211019.001\/V14.0.2.0.SJGIDXM:user\/release-keys"",""host"":""non-pangu-pod-26vzf"",""model"":""M2007J20CG"",""id"":""SKQ1.211019.001"",""brand"":""POCO"",""device"":""surya"",""board"":""surya"",""hardware"":""qcom""},""app_info"":{""app_name"":""Simple Wallet"",""package_name"":""com.fn1.mobile_simple_wallet"",""version"":""5.3.15"",""build_number"":""13""}}",2023-12-20 2:31:29,2023-12-20 2:31:29
777224,Simple Wallet,on-close-app,staging,"{""id"":916,""name"":""User 1"",""email"":""user1@example.com"",""type"":""non-guest""}","{""app_info"":{""app_name"":""Simple Wallet"",""package_name"":""com.fn1.mobile_simple_wallet"",""version"":""5.3.15"",""build_number"":""13""}}",2023-12-19 23:30:26,2023-12-19 23:30:26
777223,Simple Wallet,on-close-app,staging,"{""id"":916,""name"":""User 1"",""email"":""user1@example.com"",""type"":""non-guest""}","{""app_info"":{""app_name"":""Simple Wallet"",""package_name"":""com.fn1.mobile_simple_wallet"",""version"":""5.3.15"",""build_number"":""13""}}",2023-12-19 23:30:23,2023-12-19 23:30:23
